datetime,HML,SMB,Rf,asi,Mkt-Rf
2021-10-11 10:15:00,-0.03814805286310811,0.002015562232960774,2.5,0.013942057228184979,-2.486057942771815
2021-10-18 10:15:00,-0.019737155730427974,0.006130928492908749,2.5,0.007845765693968776,-2.4921542343060312
2021-10-25 10:15:00,-0.0322231100076297,0.02782536345252006,2.5,0.0065928758151121425,-2.4934071241848876
2021-11-01 10:15:00,0.009076625981803418,0.008383631766511664,2.5,-0.0005733301978024796,-2.5005733301978026
2021-11-08 10:15:00,-0.009118527431351008,0.009941281880731062,2.5,0.029478203953397175,-2.4705217960466026
2021-11-15 10:15:00,0.006163215245193275,-0.009313571259892229,2.5,-0.0012425030654513725,-2.5012425030654515
2021-11-22 10:15:00,0.002498430447199074,0.021263129818810973,2.5,0.0025236306076468207,-2.497476369392353
2021-11-29 10:15:00,0.005147063661398978,0.02846163388673819,2.5,-0.026331656741276355,-2.5263316567412764
2021-12-06 10:15:00,0.001791970672107776,-0.005875629359492105,2.5,-0.006757294824429438,-2.506757294824429
2021-12-13 10:15:00,0.016453126368515758,0.01668099783048605,2.5,0.011229862906805943,-2.4887701370931943
2021-12-20 10:15:00,0.0010888513030771953,0.002371349193695676,2.5,-0.0021357717291936584,-2.5021357717291934
2021-12-29 10:15:00,0.021774565033576783,-0.001348108846634495,2.5,0.010732569586169971,-2.48926743041383
2022-01-03 10:15:00,-0.013630293561129908,0.010629809499113189,2.49,0.026640351428153908,-2.4633596485718465
2022-01-10 10:15:00,-0.013577123759860657,-0.006528684410395424,2.49,0.01368733123423671,-2.4763126687657637
2022-01-17 10:15:00,0.01300310601037993,0.0018506993748903418,2.49,0.03380252136378381,-2.4561974786362164
2022-01-24 10:15:00,-0.011719922726123318,0.02304586319862403,2.49,0.005389757878130119,-2.48461024212187
2022-01-31 10:15:00,0.003479097119364347,-0.023759432315034856,2.49,0.023263062733119844,-2.46673693726688
2022-02-07 10:15:00,0.02263772378114287,-0.01692788604272747,2.49,-0.0016417328268857334,-2.491641732826886
2022-02-14 10:15:00,0.029411850402837007,0.009236712980732288,2.49,-0.001309703101126325,-2.4913097031011264
2022-02-21 10:15:00,0.0397028171870738,-0.03903024244912588,2.49,0.003986849518714974,-2.486013150481285
2022-02-28 10:15:00,-0.006388936292804983,0.026486507614855256,2.49,-0.0012637860607311868,-2.491263786060731
2022-03-07 10:15:00,-0.023376177518007364,-0.008641819120349548,2.49,0.003572582387605383,-2.486427417612395
2022-03-14 10:15:00,-0.04011663893988771,0.002204578162874468,2.49,-0.003263411125548954,-2.4932634111255494
2022-03-21 10:15:00,-0.007182373147199113,0.030685971001372526,2.49,-0.006734856270390055,-2.49673485627039
2022-03-28 10:15:00,-0.01739317343404054,0.018522266148245613,2.49,-0.0025843285411046857,-2.492584328541105
2022-04-04 10:15:00,0.019065818438355364,0.00042413911327256887,1.75,-0.004512918393815291,-1.7545129183938153
2022-04-11 10:15:00,0.0007575831937607046,0.02309925922088353,1.75,0.019879025450221244,-1.7301209745497788
2022-04-19 10:15:00,-0.02683591329220316,0.013999098714970301,1.75,0.01894929332115103,-1.731050706678849
2022-04-25 10:15:00,-0.012126109700569897,-0.025198866218517246,1.75,0.024335566779189133,-1.7256644332208109
2022-05-05 10:15:00,0.005684652678778251,-0.007718591276590046,1.74,0.02615025570348095,-1.713849744296519
2022-05-09 10:15:00,-0.012846799260817748,-0.021617830346525625,1.74,0.04246811728964395,-1.697531882710356
2022-05-16 10:15:00,-0.007976579068732849,0.04925326389855842,1.74,-0.0022645861049402916,-1.7422645861049402
2022-05-23 10:15:00,0.006680822051775167,0.019852164203956198,1.74,0.020863360016440957,-1.719136639983559
2022-05-30 10:15:00,0.02127232924955262,0.0008591534739513761,2.47,-0.021763084946129885,-2.49176308494613
2022-06-06 10:15:00,0.0020230939274127197,0.004167806771281991,2.47,0.005540554951007914,-2.464459445048992
2022-06-14 10:15:00,0.014795176258745714,0.009653861494780102,2.47,-0.02675308472737148,-2.496753084727372
2022-06-20 10:15:00,-0.019087538298232887,0.023666460700638565,2.47,-0.0013996077645060945,-2.471399607764506
2022-06-27 10:15:00,-0.008540711493604724,0.022800726499331493,2.47,0.002399410864689866,-2.4676005891353103
2022-07-04 10:15:00,0.038671647705474585,-0.04502417529781565,2.41,-0.005253014142169277,-2.4152530141421695
2022-07-13 10:15:00,0.009438410019967924,-0.007345321658347456,2.41,0.012756866568743419,-2.3972431334312567
2022-07-18 10:15:00,0.009962534306987288,-0.003978421679650648,2.41,-0.004504423153591897,-2.414504423153592
2022-07-25 10:15:00,0.011753923368063066,-0.0034847184205289913,2.41,-0.03096718767681106,-2.440967187676811
2022-08-01 10:15:00,-0.02277074619591902,0.015365722403557795,2.76,0.006989800527096968,-2.753010199472903
2022-08-08 10:15:00,0.021336542225396986,0.0005093105939174194,2.76,-0.020863750575486284,-2.7808637505754863
2022-08-15 10:15:00,0.005985947715175816,-0.009427251764900306,2.76,-0.005908678044308502,-2.7659086780443083
2022-08-22 10:15:00,-0.0011472438457593558,0.017341096844600022,2.76,0.006309967217143164,-2.7536900327828566
